  Time                 , V(VN)                , V(VS)                
  1.103062785646e+01  ,-3.544752416595e-07  ,0.000000000000e+00  
  1.103133322755e+01  ,-3.546709470281e-07  ,0.000000000000e+00  
  1.103274396974e+01  ,-3.550570815691e-07  ,0.000000000000e+00  
  1.103556545411e+01  ,-3.558213883814e-07  ,0.000000000000e+00  
  1.104120842286e+01  ,-3.573382519606e-07  ,0.000000000000e+00  
  1.105249436036e+01  ,-3.602510457723e-07  ,0.000000000000e+00  
  1.107506623536e+01  ,-3.656720708456e-07  ,0.000000000000e+00  
  1.112020998536e+01  ,-3.751835984389e-07  ,0.000000000000e+00  
  1.121049748536e+01  ,-3.902777316600e-07  ,0.000000000000e+00  
  1.139107248536e+01  ,-4.109962149501e-07  ,0.000000000000e+00  
  1.175222248536e+01  ,-4.345761048241e-07  ,0.000000000000e+00  
  1.200000000001e+01  ,-4.441358937846e-07  ,9.999408708457e-10  
  1.200300000001e+01  ,-2.025086762151e-01  ,2.500000008999e-01  
  1.200900000001e+01  ,3.995070236560e-01  ,7.500000008999e-01  
  1.202100000001e+01  ,1.034019478364e+00  ,1.750000000900e+00  
  1.202279789940e+01  ,1.123549037846e+00  ,1.899824950000e+00  
  1.202351810946e+01  ,1.163925038069e+00  ,1.959842455000e+00  
  1.202366153390e+01  ,1.171461806051e+00  ,1.971794491667e+00  
  1.202375084340e+01  ,1.176139453310e+00  ,1.979236950000e+00  
  1.202378816360e+01  ,1.178093508002e+00  ,1.982346966667e+00  
  1.202378816370e+01  ,1.178073291085e+00  ,1.982346975000e+00  
  1.202378817148e+01  ,1.178088012617e+00  ,1.982347623077e+00  
  1.202378818703e+01  ,1.178088964545e+00  ,1.982348919229e+00  
  1.202378821409e+01  ,1.178090250702e+00  ,1.982351173775e+00  
  1.202378826819e+01  ,1.178093166091e+00  ,1.982355682866e+00  
  1.202378837641e+01  ,1.178098674165e+00  ,1.982364701049e+00  
  1.202378859285e+01  ,1.178109960631e+00  ,1.982382737414e+00  
  1.202378902572e+01  ,1.178132077097e+00  ,1.982418810145e+00  
  1.202378989147e+01  ,1.178176291171e+00  ,1.982490955608e+00  
  1.202379162296e+01  ,1.178264137823e+00  ,1.982635246532e+00  
  1.202379508594e+01  ,1.178441044874e+00  ,1.982923828380e+00  
  1.202380201190e+01  ,1.178802590235e+00  ,1.983500992076e+00  
  1.202381586383e+01  ,1.179543822655e+00  ,1.984655319469e+00  
  1.202384356769e+01  ,1.180996670388e+00  ,1.986963974254e+00  
